Date,Description,Category,Amount
2025-03-01,Salary,Income,50000
2025-03-02,Groceries,Food,-2000
2025-03-03,Rent,Rent,-15000
2025-03-04,Electricity Bill,Utilities,-3000
2025-03-05,Coffee,Food,-500
2025-03-06,Bonus,Income,10000
2025-03-07,Dining Out,Food,-1500
2025-03-08,Internet Bill,Utilities,-1200
2025-03-09,Freelance Project,Income,15000
2025-03-10,Gym Membership,Health,-1000
2025-03-11,Medical Checkup,Health,-2000
2025-03-12,Movie Night,Entertainment,-700
2025-03-13,Groceries,Food,-1800
2025-03-14,Loan Repayment,Debt,-8000
2025-03-15,Gift Received,Income,5000
2025-03-16,Clothes Shopping,Shopping,-4000
2025-03-17,Fuel,Transport,-3000
2025-03-18,Mobile Recharge,Utilities,-500
2025-03-19,Dining Out,Food,-1200
2025-03-20,Snacks,Food,-800
2025-03-21,Workshop Earning,Income,12000
2025-03-22,Books,Education,-1500
2025-03-23,Charity Donation,Charity,-1000
2025-03-24,Online Subscription,Entertainment,-500
2025-03-25,Laptop Repair,Maintenance,-2500
